timestep,set,agent,score
17776640,train,1,3.3333333333333335
17776640,train,2,4.102564102564102
17776640,train,3,2.8205128205128207
18202624,train,0,3.3333333333333335
18202624,train,1,2.5925925925925926
18202624,train,2,3.2432432432432434
18202624,train,3,2.6666666666666665
18628608,train,0,2.380952380952381
18628608,train,1,2.272727272727273
18628608,train,2,1.6666666666666667
18628608,train,3,2.0833333333333335
19054592,train,0,3.0
19054592,train,1,4.0
19054592,train,2,2.5
19054592,train,3,2.857142857142857
19480576,train,0,4.0
19480576,train,1,3.4210526315789473
19480576,train,2,3.2142857142857144
19480576,train,3,3.9285714285714284
19906560,train,0,2.6666666666666665
19906560,train,1,3.25
19906560,train,2,3.225806451612903
19906560,train,3,2.6315789473684212
20316160,train,0,4.7368421052631575
20316160,train,1,4.516129032258065
20316160,train,2,2.8125
20316160,train,3,4.193548387096774
20742144,train,0,2.0689655172413794
20742144,train,1,3.888888888888889
20742144,train,2,3.902439024390244
20742144,train,3,4.7272727272727275
21168128,train,0,2.727272727272727
21168128,train,1,3.4482758620689653
21168128,train,2,3.9285714285714284
21168128,train,3,2.413793103448276
21594112,train,0,2.903225806451613
21594112,train,1,2.0
21594112,train,2,4.594594594594595
21594112,train,3,3.235294117647059
22020096,train,0,4.102564102564102
22020096,train,1,2.9411764705882355
22020096,train,2,3.6363636363636362
22020096,train,3,2.5
22446080,train,0,3.3333333333333335
22446080,train,1,3.3333333333333335
22446080,train,2,3.611111111111111
22446080,train,3,2.5
22855680,train,0,4.8
22855680,train,1,3.6842105263157894
22855680,train,2,3.877551020408163
22855680,train,3,4.222222222222222
23281664,train,0,4.042553191489362
23281664,train,1,2.3333333333333335
23281664,train,2,3.870967741935484
23281664,train,3,5.5
23707648,train,0,2.25
23707648,train,1,3.888888888888889
23707648,train,2,4.4186046511627906
23707648,train,3,4.358974358974359
24133632,train,0,3.8636363636363638
24133632,train,1,2.8947368421052633
24133632,train,2,5.2272727272727275
24133632,train,3,5.0
24559616,train,0,4.146341463414634
24559616,train,1,3.235294117647059
24559616,train,2,4.444444444444445
24559616,train,3,3.1578947368421053
24985600,train,0,4.25
24985600,train,1,5.0
24985600,train,2,4.411764705882353
24985600,train,3,4.705882352941177
16384,test,0,1.3513513513513513
16384,test,1,2.272727272727273
16384,test,2,2.5714285714285716
16384,test,3,3.3333333333333335
425984,test,0,3.1914893617021276
425984,test,1,3.3333333333333335
425984,test,2,4.186046511627907
425984,test,3,3.488372093023256
851968,test,0,2.8813559322033897
851968,test,1,3.823529411764706
851968,test,2,2.6984126984126986
851968,test,3,2.5454545454545454
1277952,test,0,2.0408163265306123
1277952,test,1,3.0508474576271185
1277952,test,2,2.4390243902439024
1277952,test,3,1.8181818181818181
1703936,test,0,2.641509433962264
1703936,test,1,3.466666666666667
1703936,test,2,2.4
1703936,test,3,2.2
2129920,test,0,2.8846153846153846
2129920,test,1,3.1707317073170733
2129920,test,2,3.3333333333333335
2129920,test,3,3.0303030303030303
2539520,test,0,3.2
2539520,test,1,2.682926829268293
2539520,test,2,0.5555555555555556
2539520,test,3,2.0
2965504,test,0,2.8205128205128207
2965504,test,1,3.7704918032786887
2965504,test,2,1.2820512820512822
2965504,test,3,3.255813953488372
3391488,test,0,1.7391304347826086
3391488,test,1,3.225806451612903
3391488,test,2,2.8205128205128207
3391488,test,3,3.5135135135135136
3817472,test,0,2.2857142857142856
3817472,test,1,2.5806451612903225
3817472,test,2,1.6666666666666667
3817472,test,3,2.857142857142857
4243456,test,0,2.8125
4243456,test,1,2.7586206896551726
4243456,test,2,3.0
4243456,test,3,2.6315789473684212
4669440,test,0,1.9047619047619047
4669440,test,1,1.6666666666666667
4669440,test,2,3.2142857142857144
4669440,test,3,2.1052631578947367
5079040,test,0,4.2105263157894735
5079040,test,1,0.8333333333333334
5079040,test,2,1.5
5079040,test,3,1.6666666666666667
5505024,test,0,0.7407407407407407
5505024,test,1,2.9411764705882355
5505024,test,2,1.5384615384615385
5505024,test,3,2.3076923076923075
5931008,test,0,2.8205128205128207
5931008,test,1,1.6129032258064515
5931008,test,2,2.3333333333333335
5931008,test,3,4.0
6356992,test,0,2.051282051282051
6356992,test,1,1.9047619047619047
6356992,test,2,3.3333333333333335
6356992,test,3,2.978723404255319
6782976,test,0,3.9393939393939394
6782976,test,1,3.125
6782976,test,2,3.6363636363636362
6782976,test,3,2.2222222222222223
7208960,test,0,3.9393939393939394
7208960,test,1,2.4
7208960,test,2,4.137931034482759
7208960,test,3,0.0
7618560,test,0,1.5384615384615385
7618560,test,1,2.142857142857143
7618560,test,2,3.6363636363636362
7618560,test,3,1.6666666666666667
8044544,test,0,2.8
8044544,test,1,2.0
8044544,test,2,1.9230769230769231
8044544,test,3,2.682926829268293
8470528,test,0,1.25
8470528,test,1,0.625
8470528,test,2,2.5
8470528,test,3,1.6
8896512,test,0,2.6315789473684212
8896512,test,1,2.9166666666666665
8896512,test,2,2.0833333333333335
8896512,test,3,2.3076923076923075
9322496,test,0,2.0833333333333335
9322496,test,1,1.4285714285714286
9322496,test,2,2.0
9322496,test,3,3.5294117647058822
9748480,test,0,3.235294117647059
9748480,test,1,1.7241379310344827
9748480,test,2,2.5
9748480,test,3,3.235294117647059
10158080,test,0,0.8333333333333334
10158080,test,1,4.583333333333333
10158080,test,2,2.0
10158080,test,3,0.0
10584064,test,0,2.7777777777777777
10584064,test,1,2.5
10584064,test,2,3.3333333333333335
10584064,test,3,2.0
11010048,test,0,3.3333333333333335
11010048,test,1,2.5
11010048,test,2,2.6666666666666665
11010048,test,3,4.761904761904762
11436032,test,0,3.4782608695652173
11436032,test,1,1.6666666666666667
11436032,test,2,0.6666666666666666
11436032,test,3,3.8095238095238093
11862016,test,0,2.857142857142857
11862016,test,1,0.5
11862016,test,2,4.0
11862016,test,3,2.3529411764705883
12288000,test,0,2.5
12288000,test,1,1.875
12288000,test,2,2.0
12288000,test,3,2.6315789473684212
12697600,test,0,1.5789473684210527
12697600,test,1,1.25
12697600,test,2,3.3333333333333335
12697600,test,3,2.727272727272727
13123584,test,0,3.4615384615384617
13123584,test,1,3.0434782608695654
13123584,test,2,3.5
13123584,test,3,0.9523809523809523
13549568,test,0,2.0
13549568,test,1,2.9166666666666665
13549568,test,2,2.7777777777777777
13549568,test,3,4.482758620689655
13975552,test,0,3.5
13975552,test,1,2.0
13975552,test,2,4.444444444444445
13975552,test,3,2.1739130434782608
14401536,test,0,2.5
14401536,test,1,2.1052631578947367
14401536,test,2,1.8181818181818181
14401536,test,3,2.0
14827520,test,0,1.4285714285714286
14827520,test,1,2.5806451612903225
14827520,test,2,3.4375
14827520,test,3,1.7391304347826086
15237120,test,0,2.3684210526315788
15237120,test,1,2.5
15237120,test,2,2.1875
15237120,test,3,2.0
15663104,test,0,3.1914893617021276
15663104,test,1,2.558139534883721
15663104,test,2,2.7777777777777777
15663104,test,3,2.1052631578947367
16089088,test,0,2.2222222222222223
16089088,test,1,2.5925925925925926
16089088,test,2,2.727272727272727
16089088,test,3,2.857142857142857
16515072,test,0,3.6
16515072,test,1,4.482758620689655
16515072,test,2,3.6363636363636362
16515072,test,3,3.5
16941056,test,0,1.8518518518518519
16941056,test,1,2.5925925925925926
16941056,test,2,2.962962962962963
16941056,test,3,3.4782608695652173
17367040,test,0,2.0
17367040,test,1,1.0714285714285714
17367040,test,2,2.8
17367040,test,3,0.8
17776640,test,0,2.0689655172413794
17776640,test,1,3.3333333333333335
17776640,test,2,2.6666666666666665
17776640,test,3,3.076923076923077
18202624,test,0,3.4375
18202624,test,1,3.0
18202624,test,2,1.5789473684210527
18202624,test,3,3.7037037037037037
18628608,test,0,3.125
18628608,test,1,3.0
18628608,test,2,4.166666666666667
18628608,test,3,1.3793103448275863
19054592,test,0,2.608695652173913
19054592,test,1,2.5
19054592,test,2,3.7837837837837838
19054592,test,3,2.5
19480576,test,0,2.5641025641025643
19480576,test,1,3.5714285714285716
19480576,test,2,2.7027027027027026
19480576,test,3,3.75
19906560,test,0,3.4375
19906560,test,1,3.4146341463414633
19906560,test,2,3.125
19906560,test,3,2.75
20316160,test,0,2.5
