timestep,set,agent,score
22020096,test,3,1.6896551724137931
22446080,test,0,1.8857142857142857
22446080,test,1,1.2352941176470589
22446080,test,2,1.5294117647058822
22446080,test,3,1.3714285714285714
22855680,test,0,2.096774193548387
22855680,test,1,1.1764705882352942
22855680,test,2,1.7586206896551724
22855680,test,3,1.6333333333333333
23281664,test,0,1.4848484848484849
23281664,test,1,1.0571428571428572
23281664,test,2,1.048780487804878
23281664,test,3,1.5151515151515151
23707648,test,0,2.3333333333333335
23707648,test,1,1.588235294117647
23707648,test,2,1.5142857142857142
23707648,test,3,1.5833333333333333
24133632,test,0,1.2571428571428571
24133632,test,1,1.7
24133632,test,2,1.9615384615384615
24133632,test,3,2.0
24559616,test,0,1.5806451612903225
24559616,test,1,1.393939393939394
24559616,test,2,1.5185185185185186
24559616,test,3,2.6
24985600,test,0,1.72
24985600,test,1,1.5161290322580645
24985600,test,2,1.65625
24985600,test,3,2.1481481481481484
