timestep,set,agent,score
1277952,test,1,3.6363636363636362
1277952,test,2,5.555555555555555
1277952,test,3,5.0
1703936,test,0,3.6842105263157894
1703936,test,1,3.076923076923077
1703936,test,2,3.8461538461538463
1703936,test,3,3.1578947368421053
2129920,test,0,1.875
2129920,test,1,0.7142857142857143
2129920,test,2,3.1818181818181817
2129920,test,3,2.9411764705882355
2539520,test,0,3.75
2539520,test,1,4.230769230769231
2539520,test,2,3.076923076923077
2539520,test,3,4.642857142857143
2965504,test,0,4.615384615384615
2965504,test,1,2.0
2965504,test,2,0.7692307692307693
2965504,test,3,3.3333333333333335
3391488,test,0,3.103448275862069
3391488,test,1,5.769230769230769
3391488,test,2,3.6842105263157894
3391488,test,3,2.608695652173913
3817472,test,0,4.333333333333333
3817472,test,1,3.0434782608695654
3817472,test,2,3.7777777777777777
3817472,test,3,4.722222222222222
4243456,test,0,4.761904761904762
4243456,test,1,4.864864864864865
4243456,test,2,1.6666666666666667
4243456,test,3,3.9130434782608696
4669440,test,0,5.0
4669440,test,1,5.0
4669440,test,2,2.3529411764705883
4669440,test,3,5.0
5079040,test,0,4.0
5079040,test,1,2.5
5079040,test,2,4.615384615384615
5079040,test,3,4.545454545454546
5505024,test,0,3.823529411764706
5505024,test,1,3.4782608695652173
5505024,test,2,3.6666666666666665
5505024,test,3,3.75
5931008,test,0,4.545454545454546
5931008,test,1,4.375
5931008,test,2,4.545454545454546
5931008,test,3,4.318181818181818
6356992,test,0,4.509803921568627
6356992,test,1,5.0
6356992,test,2,3.9130434782608696
6356992,test,3,4.375
6782976,test,0,4.871794871794871
6782976,test,1,4.8076923076923075
6782976,test,2,4.56140350877193
6782976,test,3,4.285714285714286
7208960,test,0,4.6875
7208960,test,1,5.555555555555555
7208960,test,2,4.0
7208960,test,3,4.651162790697675
7618560,test,0,3.9130434782608696
7618560,test,1,4.8
7618560,test,2,5.0
7618560,test,3,4.62962962962963
8044544,test,0,5.0
8044544,test,1,4.838709677419355
8044544,test,2,4.651162790697675
8044544,test,3,4.25531914893617
8470528,test,0,3.9473684210526314
8470528,test,1,4.117647058823529
8470528,test,2,4.411764705882353
8470528,test,3,4.473684210526316
8896512,test,0,6.315789473684211
8896512,test,1,5.0
8896512,test,2,4.117647058823529
8896512,test,3,3.5294117647058822
9322496,test,0,4.285714285714286
9322496,test,1,5.277777777777778
9322496,test,2,5.0
9322496,test,3,5.555555555555555
9748480,test,0,5.121951219512195
9748480,test,1,3.0232558139534884
9748480,test,2,5.3061224489795915
9748480,test,3,5.8
10158080,test,0,4.705882352941177
10158080,test,1,4.358974358974359
10158080,test,2,4.4186046511627906
10158080,test,3,4.7368421052631575
10584064,test,0,5.25
10584064,test,1,3.1578947368421053
10584064,test,2,5.0
10584064,test,3,5.0
11010048,test,0,4.411764705882353
11010048,test,1,5.0
11010048,test,2,3.9393939393939394
11010048,test,3,3.953488372093023
11436032,test,0,3.2
11436032,test,1,3.4615384615384617
11436032,test,2,5.161290322580645
11436032,test,3,5.6
11862016,test,0,5.6521739130434785
11862016,test,1,5.319148936170213
11862016,test,2,5.0
11862016,test,3,5.806451612903226
12288000,test,0,4.25531914893617
12288000,test,1,5.416666666666667
12288000,test,2,5.0
12288000,test,3,5.2272727272727275
12697600,test,0,4.814814814814815
12697600,test,1,5.806451612903226
12697600,test,2,4.722222222222222
12697600,test,3,6.0
13123584,test,0,4.285714285714286
13123584,test,1,6.222222222222222
13123584,test,2,5.0
13123584,test,3,4.722222222222222
13549568,test,0,5.294117647058823
13549568,test,1,5.681818181818182
13549568,test,2,5.384615384615385
13549568,test,3,4.2
13975552,test,0,3.5294117647058822
13975552,test,1,5.0
13975552,test,2,3.611111111111111
13975552,test,3,4.146341463414634
14401536,test,0,3.5483870967741935
14401536,test,1,4.7727272727272725
14401536,test,2,4.56140350877193
14401536,test,3,5.0
14827520,test,0,5.365853658536586
14827520,test,1,2.9166666666666665
14827520,test,2,4.8936170212765955
14827520,test,3,2.857142857142857
15237120,test,0,5.111111111111111
15237120,test,1,5.319148936170213
15237120,test,2,5.5813953488372094
15237120,test,3,2.5
15663104,test,0,4.680851063829787
15663104,test,1,5.245901639344262
15663104,test,2,4.516129032258065
15663104,test,3,5.714285714285714
16089088,test,0,6.041666666666667
16089088,test,1,2.608695652173913
16089088,test,2,5.384615384615385
16089088,test,3,4.705882352941177
16515072,test,0,4.0
16515072,test,1,4.516129032258065
16515072,test,2,4.166666666666667
16515072,test,3,4.571428571428571
16941056,test,0,3.2142857142857144
16941056,test,1,6.0
16941056,test,2,4.0
16941056,test,3,4.516129032258065
17367040,test,0,3.5714285714285716
17367040,test,1,4.137931034482759
17367040,test,2,7.142857142857143
17367040,test,3,2.5641025641025643
17776640,test,0,6.0
17776640,test,1,3.4375
17776640,test,2,3.9130434782608696
17776640,test,3,5.757575757575758
18202624,test,0,4.827586206896552
18202624,test,1,4.6875
18202624,test,2,4.0
18202624,test,3,5.454545454545454
18628608,test,0,4.516129032258065
18628608,test,1,4.705882352941177
18628608,test,2,4.285714285714286
18628608,test,3,4.7727272727272725
19054592,test,0,5.0
19054592,test,1,6.0
19054592,test,2,5.625
19054592,test,3,3.6
19480576,test,0,5.2631578947368425
19480576,test,1,4.0
19480576,test,2,4.090909090909091
19480576,test,3,4.285714285714286
19906560,test,0,3.8461538461538463
19906560,test,1,5.454545454545454
19906560,test,2,4.615384615384615
19906560,test,3,5.384615384615385
20316160,test,0,5.576923076923077
20316160,test,1,5.238095238095238
20316160,test,2,5.769230769230769
20316160,test,3,2.0
20742144,test,0,5.151515151515151
20742144,test,1,5.666666666666667
20742144,test,2,6.0
20742144,test,3,4.0
21168128,test,0,3.823529411764706
21168128,test,1,4.680851063829787
21168128,test,2,3.3333333333333335
21168128,test,3,4.444444444444445
21594112,test,0,6.363636363636363
21594112,test,1,6.428571428571429
21594112,test,2,5.625
21594112,test,3,5.0
22020096,test,0,4.074074074074074
22020096,test,1,4.878048780487805
22020096,test,2,4.594594594594595
22020096,test,3,5.217391304347826
22446080,test,0,5.882352941176471
22446080,test,1,5.0
22446080,test,2,6.551724137931035
22446080,test,3,5.416666666666667
22855680,test,0,6.341463414634147
22855680,test,1,4.761904761904762
22855680,test,2,4.117647058823529
22855680,test,3,5.1063829787234045
23281664,test,0,5.833333333333333
23281664,test,1,3.823529411764706
23281664,test,2,4.482758620689655
23281664,test,3,5.384615384615385
23707648,test,0,6.153846153846154
23707648,test,1,5.0
23707648,test,2,6.0
23707648,test,3,5.0
24133632,test,0,4.642857142857143
24133632,test,1,4.0
24133632,test,2,4.827586206896552
24133632,test,3,3.611111111111111
24559616,test,0,6.5625
24559616,test,1,5.714285714285714
24559616,test,2,5.142857142857143
24559616,test,3,3.9393939393939394
24985600,test,0,4.571428571428571
24985600,test,1,6.25
24985600,test,2,4.583333333333333
24985600,test,3,6.25
